id,euros
0,18.94312018282366
1,61.42542135303493
2,23.1454792209952
3,34.399455367824324
4,45.54089635777855
5,15.356455867079756
6,73.0949314711658
7,25.221717724884
8,18.86568864966811
9,37.19065233220562
10,54.635600426844064
11,34.59258967318633
12,22.810544398180582
13,39.20812389251662
14,32.31761482321626
15,40.34169368202541
16,51.16828884378741
17,65.34702049159345
18,28.202881379295736
19,52.64239549683009
20,9.806494914226445
21,12.710227035482635
22,51.36702518986868
23,20.870504371025127
24,54.64120246756334
25,43.672279113154886
26,64.5278898203724
27,69.26444199447734
28,16.925648622512657
29,2.90373212125619
30,33.65816293966331
31,60.77799949217106
32,38.279942132039736
33,5.8848957756679265
34,36.668828177075135
35,29.143316863442518
36,10.435252185512564
37,46.068965485955175
38,16.296891351226538
39,18.295698321959794
40,23.1454792209952
41,71.48064990086961
42,73.17796504504061
43,50.91273763436682
44,38.5374454216988
45,63.28526894160777
46,51.73605361605959
47,9.394128558256284
48,46.91370696265275
49,6.4903964370000935
